"tomt","bo_yta","balkong","ar","pris"
55.6,93.6,0,1935,568
115.3,111.6,1,1927,649
66,117,0,1941,716
102.1,141.75,1,1940,825
142.6,182.25,1,1960,1015
97.6,144,0,1961,845
163.5,196.2,1,1981,1130
154,148.5,1,1986,883
101.4,146.25,1,1991,772
160.7,185.4,1,1989,1006
116.3,101.25,1,2007,568
146.1,186.75,1,2000,929
118.6,90.45,1,1948,578
107.7,85.05,1,1953,546
110.2,118.8,1,1950,710
105,141.75,1,1980,810
106.1,181.8,1,1982,986
104.3,106.65,1,2002,601
92,141.75,1,1933,847
110.9,113.4,1,1930,675
101.9,93.6,1,1947,532
157.8,220.5,1,1961,1244
122.1,133.2,1,1994,720
115.3,142.2,1,2008,749
78.8,95.85,0,2009,495
75.4,74.25,1,1926,501
77.3,106.2,1,1935,674
95.2,94.5,1,1935,641
98.6,91.8,1,1935,616
61.7,68.85,0,1937,466
87,130.5,1,1943,773
87.6,108,1,1942,671
77.5,128.25,0,1949,756
152.5,181.8,1,1960,1096
126.5,125.55,1,1967,806
116.5,153,1,1980,883
80.6,171,0,2003,825
125.8,91.8,1,2013,484
113.4,94.5,1,1935,622
63.3,102.6,0,1944,631
59.6,132.75,0,1943,755
101,121.5,1,1953,669
150.2,149.4,1,1961,863
91.2,193.5,0,1965,1070
128.8,126.9,1,1969,802
176.8,187.2,1,1975,1074
166,135,1,1980,802
84.7,186.75,1,1991,951
132.8,159.75,1,1994,817
86.4,123.75,1,1941,723
102.1,85.05,1,1943,555
83.2,144,1,1954,838
149.4,162,1,1958,960
150.5,222.75,1,1989,1200
110.7,184.5,1,1993,977
116.2,148.5,1,1992,769
144.3,175.5,1,1991,887
82.1,133.2,0,2008,680
103.4,153,1,2007,776
74.9,94.5,0,2008,484
153.7,140.4,1,2009,682
82.7,119.25,1,1926,701
74.8,123.75,0,1937,749
111,109.8,1,1939,645
70,75.6,0,1944,500
54.5,121.5,0,1951,677
111.6,130.95,1,1955,837
104.1,200.25,1,1973,1092
136.8,180,1,1979,974
104.7,122.85,1,1982,708
164.3,143.1,1,1983,855
108.6,138.6,1,2017,704
128,106.65,1,2012,578
87.7,114.75,1,1931,655
66.3,95.4,1,1948,598
112.3,147.6,1,1956,898
131.1,93.15,1,1953,570
198.4,245.25,1,1967,1339
156.2,174.6,1,1981,1000
133.8,122.85,1,1986,733
119.9,166.5,1,1996,855
102.9,191.25,1,2010,941
96.7,70.2,1,1929,440
91.2,193.5,0,1988,1007
95.9,127.8,1,2004,672
144.8,180,1,2005,877
114.5,155.25,1,2014,757
84,81,1,1939,544
114.7,139.5,1,1950,768
166.6,153,1,1959,857
168,141.75,1,1967,892
156.5,163.8,1,1978,914
198,136.35,1,1979,786
108,121.5,0,1985,706
94.4,175.5,0,1991,906
119.9,153,1,2004,792
73,98.55,0,2007,497
90.3,154.8,1,1958,908
131.9,196.2,1,1956,1198
131.4,156.6,1,1964,924
